###############################################################################
###                                                                         ###
###  DESCRIPTION: this is a dictionary of Scottish words                    ###
###  KEYWORDS: words, scottish, english, dictionary.                        ###
###                                                                         ###
###  Input format: lines of <word><definition>, where                       ###
###      <word> -->         letters <tab><tab> | "letters*"                 ###
###      <definition> -->   ["[" string "]"](<def>"; ")*<def>"."            ###
###      <def> -->          [^;]*                                           ###
###                                                                         ###
###  Alternate forms of words are in [...]                                  ###
###                                                                         ###
###############################################################################

garr'd          compelled
gat             got; obtained
gaun            going
gear            goods; belongings; wealth
gey, gye        very (gey-dowie - very sorrowful)
gie             give; to give
gied            gave
gie's           give us; give me; (gie's't - give me it).
gin             if
gird            a hoop
girse           grass
glaikit         foolish; thoughtless
glaives         swords.
gleades         glowing embers; remains of a fire kept in from the night before.
gleg            sharp; quick
gloamin         twilight; evening
gouans, gowans  mountain or wild daisies
goud, gowd      gold
grat            wept
grauvit         cravat
greet           to weep
greetin'        weeping; crying
gress           grass
groat           an old coin, worth four pence
guid, gude      good
guidman         husband; master; petty title, as: The Guidman o' Ballengeich
guid-willie-waucht      a good long drink

ha'             hall
hae             have; as a command: Hae! - Here, take this!
hairst          harvest
hale            whole; healthy; well
hansel          a first gift; a gift in token of something special
happed, happit  wrapped; covered
harn            a coarse linen cloth
haud            hold
hert            heart
het             hot
hicht           height
hie             high
hirple          to walk haltingly or lamely
hirplin'        limping
hoast           a cough
hod             hid
hogg            a young castrated sheep
hogmanay        the festival of Old Year's Night
hosen           stockings
hout!           an exclamation of impatience
howes           hollows
humpit          carried
hurdies         the hips
hurl            to roll over; to drive; a drive

ilk, ilka       each; every
ingle           the fire; the fireside
intil           into; unto;

Janiveer        January
jimp            slender
juist           just; only

kail            colewort; broth; Hotchpotch soup
kebars          rafters; tree-trunks when cut; poles
keek            a sly look; a peep
keel            red chalk
kelpie          a water-horse; a demon of the lochs
ken             to know; (ken ye ocht? - do you know anything?)
kerne           a warring man; a fighting peasant
kirk            church
kirkit          churched; married in a kirk; appeared at the kirk for the
		first time after an event
kirn            a churn; to churn
kist            a box; a chest; a coffin
kittle          difficult; awkward; to tickle
knicht          a knight
knowe           a hillock
kye             cows

laigh           low
laird           a landowner; (boonet-laird - a small proprieter)
lane            lone; (ma lane - alone)
lang syne       long since; long ago
lanwart         urban
lapstane        a stone on which a shoemaker beats his leather
lauch           laugh
lave
